# =============================================================================
# MAMBO ORCHE DARK PALETTE
# A crisp dark mode inspired by warm volcanic rock and deep forest shadows.
# Format: name,hex,alpha,category
# =============================================================================

# --- Base & Backgrounds (Warm Charcoal & Stone) ---
bg,181615,ff,base          # Volcanic charcoal and deep slate base
bg_surface,24201E,ff,ui    # Weathered stone layer for cards, sidebars, and inputs
border,3D3633,ff,ui        # Muted slate divider line to anchor UI elements

# --- Text & Typography (Warm Alabaster Glow) ---
fg,FAF7F2,ff,text          # Warm alabaster cream for stark contrast
fg_muted,D5C9B8,ff,text    # Soft, desaturated sand tone for secondary text
comment,969085,ff,text     # Muted earthy tone for hints and code blocks

# --- Primary Brand Accents (The Desert Earth) ---
brand,D44B36,ff,accent     # Elevated terracotta red for high visibility
brand_hover,A93622,ff,ui   # Rich red hover state

# --- Secondary & Interactive (The Dark Forest) ---
interactive,7A8574,ff,ui   # Pale spinifex green for visible navigation and links
interactive_hover,64705E,ff,ui # Deep green hover state

# --- Feedback & Status (Used Sparingly) ---
success,64705E,ff,status   # Green
warning,D3A774,ff,status   # Orange/Gold
error,D44B36,ff,status     # Red
