# =============================================================================
# MAMBO OUTBACK ECLIPSE DARK PALETTE
# An expanded dark mode spectrum preserving your original custom names.
# Format: name,hex,alpha,category
# =============================================================================

# --- Deep Horizons (Warm Horizon Bases) ---
abyssal_bark,fdfaf2,ff,base     # Brightest cream for highlights and accents
burnt_charcoal,ebdcd0,ff,base   # Soft parchment accent
canyon_floor,4A3D3A,ff,ui       # Medium dark structural UI layer
crushed_clay,2B2321,ff,ui       # Dark UI card layer
dusty_parchment,161413,ff,base  # Ultimate deep background base
river_silt,1C1817,ff,ui         # Secondary deep background base

# --- Scorched Earth (Reds & Terracottas) ---
magma_dust,ff6b57,ff,accent     # Vibrant hot magma
wildfire,e65235,ff,accent       # Intense brushfire orange-red
rusty_canyon,cc4329,ff,accent   # Vivid terracotta
baked_brick,b3331b,ff,accent    # Rich mid-tone red
crimson_creek,8c1d0e,ff,accent  # Deep blood red border and accent

# --- Twilight Canyon (Muted Roses & Plums) ---
desert_rose,d98c84,ff,bridge
dusty_mauve,bf8087,ff,bridge
wild_plum,9e5b68,ff,accent
berry_bramble,803f50,ff,accent
dusk_shadow,5c2336,ff,accent

# --- Outback Sunsets (Oranges & Coppers) ---
apricot_dust,ffa775,ff,accent
canyon_flash,ffb68a,ff,accent
burnt_ochre,e08a4f,ff,accent
iron_oxide,bd6c36,ff,accent
ember_glow,964e1d,ff,accent

# --- Desert Gold & Grasses (Yellows & Straws) ---
tumbleweed,ffd794,ff,accent
spinifex_gold,fce3ab,ff,accent
dry_straw,e0b267,ff,accent
roasted_cumin,bd8f42,ff,accent
savannah_dusk,946b28,ff,accent

# --- Sage & Scrub (Light/Olive Greens) ---
desert_sage,C2CCA8,ff,accent
pale_spinifex,D0DCC0,ff,accent
dusty_olive,A2B088,ff,accent
lichen_crust,829466,ff,accent
dry_moss,657549,ff,accent

# --- Deep Canopy (Dark Forest Greens) ---
eucalyptus_leaf,839979,ff,accent
overgrown_fern,678061,ff,accent
swamp_murk,4A6146,ff,accent
ancient_pine,324530,ff,accent
midnight_forest,202E1E,ff,accent

# --- Riverbed & Shale (Teals & Cyans) ---
shale_green,9CBAAC,ff,bridge
river_ooze,7DA190,ff,bridge
deep_teal,538271,ff,accent
sunken_timber,366151,ff,accent
flooded_creek,1F4235,ff,accent

# --- Stormy Skies (Blues & Slates) ---
outback_sky,8B9CBD,ff,accent
eucalyptus_smoke,A5B5ED,ff,accent
bluestone,627294,ff,accent
storm_canopy,455473,ff,accent
night_monsoon,2C3854,ff,accent

# --- Earth Typo & Muted Tones (Texts & Details) ---
fossil_bone,221E1C,ff,text      # Deep contrast accent or reversed text base
weathered_wood,3D322A,ff,text
termite_mound,66584E,ff,text
dried_bark,BDB3A6,ff,text       # Muted body text
charred_root,DEEDDF,ff,text     # Primary crisp body text
